pph age;pph altitude;ac altitude;different relief ac pph;pph distance;PPH SEXE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE;AC ECOLE VOL LIBRE;AC 0 BI VOL LIBRE;AC TYPE VOL VOL LIBRE;AC SITE CONNAISSAE VOL LIBRE;AC TYPE AILE VOL LIBRE;AC SURFACE AILE;AC AILE HOMOLOGATION PARAPENTE;AC SELLETTE PROTECTION PARAPENTE;AC NOMBRE DE JOUR DEPUIS LE D2BUT DE l'ANNEE;AC HEURE;Saison;AC ETAT ASSURE
42;466;1092;1;41;0;35;1;3;0;1;1;0;4;3;1;26;2;2;149;12;1;1
62;77;63;0;34;0;30;4;3;3;3;1;0;4;3;1;28;3;2;154;16;2;0
45;204;308;0;36;0;40;2;2;2;2;1;0;4;3;1;25;3;3;158;16;2;0
50;47;86;0;172;0;20;3;2;1;2;1;0;6;4;1;22;3;3;158;16;2;0
55;1010;645;1;18;0;35;3;2;0;2;1;0;6;4;1;26;3;2;168;16;2;2
42;144;179;0;291;0;20;3;2;1;2;1;0;4;3;1;26;3;2;172;13;2;2
42;216;650;0;43;0;30;4;2;3;3;1;0;4;3;1;26;3;3;176;13;2;0
47;257;1710;1;8030;0;40;3;2;0;2;1;0;5;1;1;33;5;3;174;15;2;2
45;442;237;0;52;1;4;2;2;0;1;1;0;4;4;1;18;3;1;175;17;2;1
60;737;1757;1;259;0;80;4;3;3;3;1;0;4;3;1;25;-1;2;183;12;2;2
53;236;511;0;4;0;60;4;3;2;2;1;0;4;3;1;25;-1;2;186;17;2;0
33;475;477;0;25;0;105;4;3;3;3;1;0;5;4;1;23;3;3;188;19;2;1
56;1849;689;1;631;0;20;4;3;0;2;1;0;5;3;1;29;3;3;176;14;2;2
35;1092;1092;0;0;1;50;3;2;2;2;1;0;6;3;1;19;3;3;186;15;2;2
37;1092;1092;0;0;0;300;4;3;3;3;1;1;4;3;2;41;3;1;186;14;2;0
50;211;576;0;28;0;60;3;3;1;2;1;0;4;4;1;25;3;2;153;17;2;2
40;508;508;0;0;0;20;4;3;3;3;1;0;4;3;1;26;3;2;189;20;2;2
23;655;1694;1;126;0;130;3;3;3;3;1;0;8;2;1;25;-1;3;193;14;2;2
49;464;464;0;0;0;300;3;2;2;2;1;0;4;2;1;25;3;3;194;14;2;1
33;384;433;0;22;0;15;3;4;0;1;1;0;4;2;1;30;3;3;184;11;2;1
57;128;82;0;285;0;70;4;3;3;3;1;0;4;4;1;24;-1;3;195;16;2;2
35;965;1279;0;8932;0;45;4;3;3;3;1;0;6;1;1;25;-1;3;194;14;2;2
52;69;153;0;88;0;10;4;4;2;2;1;0;2;4;1;26;2;2;199;13;2;0
60;54;61;0;13;0;10;1;2;0;0;1;0;7;4;1;24;2;3;192;13;2;2
40;408;366;0;27;0;20;4;2;1;2;1;0;4;3;1;26;-1;2;205;16;2;2
