;PPH AGE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE
427;69;15;4;3;1;2
428;37;50;4;3;3;3
429;69;25;4;4;3;3
430;69;50;4;2;3;3
431;57;30;4;4;2;2
432;34;0;3;2;2;2
433;36;30;3;3;0;1
434;58;20;3;2;2;2
435;65;30;3;4;2;1
436;52;25;4;3;2;2
437;54;50;2;4;0;1
438;43;70;4;3;3;3
439;26;150;3;3;0;2
440;43;30;3;2;2;1
441;32;30;2;2;1;2
442;57;80;3;3;1;2
443;46;11;2;4;1;1
444;28;0;1;2;1;1
445;37;50;3;3;1;1
446;36;167;3;3;3;2
447;44;5;4;3;3;3
448;52;35;3;2;1;1
449;49;15;2;4;0;1
450;67;0;4;4;3;3
451;65;75;3;3;2;2
452;63;10;4;2;3;3
453;48;35;4;3;3;3
454;66;50;3;3;1;2
455;60;15;4;2;3;3
456;73;60;4;3;3;3
457;49;300;3;2;2;2
458;44;40;3;3;3;3
459;60;80;4;3;3;3
460;23;10;2;3;0;1
461;43;12;4;4;0;2
462;44;10;4;4;1;2
463;36;200;4;3;3;3
464;22;20;2;2;0;1
465;64;10;4;3;2;2
466;47;13;4;4;2;3
467;57;20;3;2;0;1
468;43;60;2;2;1;1
469;70;50;4;3;3;3
470;52;40;4;2;2;3
471;33;500;4;3;3;3
472;61;60;4;2;2;2
473;46;20;3;2;0;0
474;42;100;3;3;1;2
475;63;45;4;2;2;3
476;45;30;3;2;3;3
477;44;30;4;4;2;2
478;64;30;3;2;0;2
479;53;35;4;2;3;3
480;70;40;4;3;2;2
481;44;15;3;3;0;2
482;45;30;4;3;3;3
483;32;6;1;3;0;0
484;44;80;4;3;3;3
485;50;85;2;2;1;1
486;54;50;3;4;1;2
487;34;20;3;2;2;2
488;58;37;4;3;3;3
489;61;100;4;3;3;3
490;37;60;3;2;2;2
491;39;50;4;2;3;3
492;28;27;1;3;0;1
493;54;5;2;3;1;1
494;26;50;2;2;1;1
495;57;30;4;3;2;2
496;34;8;2;4;0;1
497;45;50;3;3;2;2
498;40;50;4;2;3;3
499;30;25;3;2;0;2
500;25;150;2;2;2;2
501;65;63;3;2;3;2
502;48;35;2;2;2;2
503;41;50;4;4;2;2
504;25;100;3;3;1;3
505;38;50;4;2;1;2
506;64;20;4;2;0;2
507;56;20;4;4;0;2
508;44;80;3;4;2;2
509;45;60;4;4;2;2
510;38;100;4;3;3;3
511;32;19;3;2;2;2
512;52;30;4;4;3;3
513;29;0;1;4;1;2
514;56;15;3;2;1;1
515;65;40;1;3;0;1
516;26;150;4;3;3;3
517;41;150;4;3;3;3
518;61;20;4;3;1;2
519;36;15;2;3;1;1
520;40;43;3;2;2;2
521;41;60;3;2;0;2
522;33;0;3;3;0;1
523;33;250;4;3;3;3
524;46;0;1;4;1;1
525;46;25;4;2;2;3
526;47;20;4;4;1;2
527;30;30;3;3;2;2
528;34;350;4;3;3;3
529;55;33;3;2;2;2
530;47;200;3;3;1;2
531;47;25;4;4;2;2
532;35;3;2;3;1;1
533;53;30;2;2;0;1
534;56;50;4;3;3;2
535;44;50;3;2;0;2
536;66;30;4;2;2;3
537;43;15;4;2;3;3
538;56;20;4;4;3;2
539;26;20;1;2;0;1
540;31;10;3;3;1;1
541;39;60;3;3;3;3
542;61;100;4;2;3;3
543;45;12;3;3;2;1
544;57;28;4;2;3;3
545;74;80;4;3;3;3
546;30;0;1;2;1;1
547;33;10;3;3;0;1
548;58;40;4;2;3;3
549;48;35;3;2;2;2
550;37;25;4;3;2;3
551;52;30;4;4;0;3
552;33;2;2;2;1;1
553;29;10;2;4;1;1
554;44;14;2;2;1;2
555;30;80;4;3;3;3
556;41;35;4;3;3;3
557;74;0;4;3;3;3
558;49;0;4;2;3;3
559;45;30;4;2;3;3
560;66;50;4;3;3;3
561;48;10;3;3;1;2
562;47;30;4;4;2;2
563;29;200;3;3;2;3
564;48;350;4;3;3;3
565;66;30;4;4;1;3
566;45;200;4;3;3;3
567;46;40;4;3;2;3
568;27;50;2;3;0;1
569;36;50;4;2;3;3
570;67;20;4;4;3;1
571;62;60;4;3;3;3
572;43;0;4;3;3;3
573;51;40;4;2;3;2
574;65;10;4;4;3;3
575;40;4;4;3;3;3
576;61;100;4;2;3;3
577;30;30;3;2;2;2
578;58;40;4;3;2;2
579;56;30;4;4;3;3
580;38;70;4;2;3;3
581;67;100;4;3;2;3
582;58;30;4;4;3;3
